Theta,Power
theta,W
,1310mA
0.561,0.374
1.2903,0.373
2.3114,0.373
3.569,0.371
6.142,0.368
7.981,0.364
10.658,0.359
12.409,0.353
14.241,0.346
15.91,0.338
18.408,0.33
20.2475,0.321
22.0937,0.307
24.6437,0.296
26.328,0.285
28.155,0.274
30.757,0.262
32.5675,0.25
34.2574,0.237
35.9874,0.231
37.826,0.211
39.8027,0.205
41.7875,0.191
43.6107,0.178
45.546,0.165
47.558,0.152
49.363,0.14
51.3914,0.127
53.2907,0.115
55.18,0.103
57.811,0.091
59.618,0.08
61.5073,0.07
63.318,0.06
65.9357,0.051
67.7454,0.042
69.543,0.035
71.341,0.027
74.012,0.021
75.8256,0.016
77.5603,0.011
80.1603,0.007
81.9424,0.004
83.7797,0.002
85.602,0.001
87.3163,0.001
89.9225,0.001
91.924,0.003
93.65,0.005
96.03,0.008
97.775,0.012
99.684,0.017
101.5736,0.023
103.376,0.029
106.0526,0.036
108.004,0.044
109.999,0.052
111.765,0.061
114.259,0.071
115.9695,0.081
118.5377,0.092
119.425,0.103
122.297,0.115
123.9445,0.127
125.7104,0.139
128.2843,0.151
129.9805,0.164
132.5346,0.177
133.481,0.19
136.2957,0.202
138.0325,0.215
139.783,0.228
142.367,0.24
144.1196,0.252
146.1205,0.264
147.9646,0.275
149.7904,0.286
151.489,0.297
153.277,0.307
155.8723,0.316
157.8794,0.325
159.7173,0.333
161.674,0.34
163.499,0.346
165.1996,0.352
167.903,0.357
169.8635,0.361
171.6904,0.364
173.5277,0.366
175.311,0.368
177.169,0.368
179.9075,0.367
181.8725,0.366
183.69,0.364
185.563,0.361
187.6215,0.357
189.3713,0.352
191.0914,0.347
193.836,0.34
195.602,0.333
197.5014,0.325
199.319,0.316
201.2073,0.312
203.9354,0.297
205.8254,0.287
207.5866,0.276
209.414,0.265
211.205,0.253
213.816,0.241
215.8293,0.229
217.6594,0.216
219.315,0.203
221.105,0.19
222.9734,0.183
224.745,0.17
227.3247,0.158
229.1584,0.139
230.955,0.132
232.736,0.12
234.6146,0.108
237.308,0.097
239.309,0.086
241.0705,0.075
242.897,0.065
244.704,0.056
247.2237,0.047
249.209,0.039
250.9604,0.031
252.787,0.025
254.6355,0.019
257.2053,0.014
258.705,0.009
261.194,0.006
263.215,0.003
265.048,0.002
266.819,0.001
269.436,0.001
271.2725,0.002
273.146,0.004
274.871,0.007
276.6547,0.01
278.4186,0.015
281.019,0.02
282.8517,0.026
284.6396,0.033
286.379,0.041
288.131,0.049
289.931,0.058
292.516,0.068
294.3445,0.078
296.1276,0.089
297.938,0.1
300.508,0.111
302.387,0.117
304.184,0.13
305.8675,0.142
308.483,0.155
310.163,0.168
311.934,0.181
314.535,0.194
316.335,0.207
318.0614,0.22
319.879,0.233
321.697,0.246
323.4723,0.258
326.307,0.27
328.142,0.281
329.912,0.293
331.6733,0.303
333.5325,0.313
336.04,0.323
338.046,0.331
339.875,0.34
341.7226,0.347
343.4167,0.354
346.0265,0.359
347.861,0.364
349.6923,0.368
351.413,0.371
354.0994,0.374
354.9855,0.375
357.325,0.375
358.4434,0.375
359.237,0.375
359.746,0.374
0.002,0.374
