Theta,Power
theta,W
,1310mA
0.638,0.375
1.331,0.375
2.3666,0.374
4.406,0.372
6.153,0.369
7.9603,0.365
9.7273,0.36
11.4824,0.354
14.1844,0.347
15.951,0.34
17.718,0.332
19.4943,0.323
21.2383,0.313
23.2507,0.303
25.3037,0.292
28.078,0.281
29.8493,0.269
31.7434,0.257
33.6125,0.245
35.444,0.232
37.207,0.219
40.047,0.206
40.9946,0.193
43.6957,0.18
45.443,0.167
48.057,0.154
49.9015,0.141
51.6977,0.128
53.4334,0.116
55.2145,0.104
56.97,0.092
58.9876,0.081
60.9676,0.071
63.819,0.061
65.661,0.052
67.551,0.043
69.5526,0.035
71.3805,0.028
73.203,0.022
75.041,0.019
76.9,0.011
79.5445,0.008
81.343,0.005
83.169,0.004
84.9164,0.002
86.6927,0.001
89.539,0.001
91.3764,0.002
93.2096,0.004
94.9036,0.006
96.681,0.01
98.5184,0.014
101.25,0.019
102.9197,0.025
104.6815,0.032
106.457,0.039
108.4426,0.048
110.47,0.056
113.2857,0.066
115.1126,0.076
116.987,0.086
118.8607,0.097
120.664,0.108
122.553,0.12
124.5946,0.132
126.4533,0.145
129.037,0.157
130.8353,0.17
132.6675,0.183
134.438,0.196
137.034,0.209
138.8603,0.221
140.7044,0.234
142.4036,0.246
144.227,0.258
147.0316,0.27
149.0325,0.281
150.845,0.292
152.733,0.302
154.408,0.312
156.23,0.321
158.1863,0.329
160.1726,0.337
162.19,0.344
164.0066,0.35
165.932,0.355
167.937,0.36
169.812,0.363
172.524,0.366
174.3674,0.368
176.124,0.369
178.7636,0.369
180.4686,0.368
182.2923,0.367
184.1724,0.364
186.01,0.36
187.7486,0.356
189.736,0.351
191.726,0.345
193.744,0.342
195.559,0.335
197.512,0.327
199.497,0.318
201.479,0.309
203.521,0.299
206.3307,0.289
208.154,0.278
210.0074,0.267
211.675,0.255
213.3497,0.243
215.2386,0.23
218.0787,0.217
219.8973,0.204
221.729,0.191
224.314,0.178
225.242,0.166
227.2684,0.153
229.2146,0.14
231.2416,0.128
233.1096,0.115
235.8476,0.104
237.6756,0.092
239.447,0.081
241.2023,0.071
243.128,0.061
244.97,0.052
246.987,0.043
249.0095,0.035
250.883,0.028
252.7065,0.025
254.4766,0.019
256.5244,0.014
259.3083,0.01
261.3003,0.005
263.098,0.003
265.5855,0.001
267.423,0.001
269.2903,0.001
271.1594,0.003
272.829,0.005
275.423,0.008
277.2574,0.012
279.0474,0.017
280.814,0.023
282.596,0.029
284.598,0.036
286.604,0.044
289.2665,0.053
291.11,0.062
292.947,0.072
294.6565,0.083
296.6465,0.094
299.3616,0.105
301.0754,0.117
302.8633,0.123
304.701,0.135
307.2287,0.148
309.052,0.161
310.781,0.174
312.5843,0.187
314.4154,0.2
317.2217,0.213
319.058,0.226
320.9114,0.239
322.5826,0.258
325.151,0.264
326.963,0.276
328.822,0.287
330.578,0.298
333.214,0.309
334.125,0.318
336.141,0.328
338.0417,0.336
339.8676,0.344
341.85,0.351
344.9565,0.357
345.873,0.362
347.864,0.367
349.876,0.371
351.8557,0.373
354.656,0.375
356.332,0.376
357.633,0.376
358.7086,0.376
359.451,0.376
359.873,0.375
0.002,0.375
