Theta,Power
theta,W
,2260mA
0.6006,0.842
1.7133,0.841
2.7917,0.839
4.0935,0.834
5.729,0.827
7.511,0.818
10.1055,0.806
11.928,0.793
13.703,0.777
15.48,0.76
17.211,0.742
18.9994,0.732
21.6025,0.7
23.477,0.676
25.217,0.652
27.004,0.64
29.598,0.614
30.5145,0.587
33.346,0.56
35.4144,0.532
37.175,0.502
39.019,0.473
40.81,0.444
43.421,0.414
45.238,0.384
47.0296,0.355
48.7997,0.326
51.3966,0.297
53.4094,0.27
55.1686,0.242
57.16,0.216
58.921,0.191
60.7697,0.167
63.39,0.144
64.317,0.123
67.1693,0.103
69.0066,0.085
70.7575,0.068
72.548,0.053
75.165,0.04
76.909,0.029
78.763,0.02
80.5275,0.013
82.3,0.007
84.957,0.004
86.866,0.002
88.668,0.003
90.5273,0.005
92.2005,0.009
94.085,0.015
96.982,0.023
98.6913,0.033
100.627,0.045
102.5103,0.058
104.3736,0.074
106.0635,0.082
108.668,0.1
109.636,0.119
111.6896,0.14
114.2687,0.161
116.092,0.184
117.8933,0.208
119.762,0.233
121.58,0.259
123.3506,0.272
125.1384,0.3
126.8877,0.328
128.649,0.356
131.2714,0.384
133.098,0.413
135.595,0.441
137.5194,0.47
138.453,0.498
141.1044,0.526
142.0156,0.553
143.7544,0.566
146.5195,0.593
148.301,0.618
150.1285,0.643
151.9054,0.666
153.646,0.687
156.2917,0.708
158.2785,0.728
160.061,0.746
161.8515,0.762
163.7154,0.776
165.4704,0.789
168.057,0.799
169.9145,0.808
171.7503,0.815
173.682,0.82
175.536,0.823
178.2786,0.824
179.185,0.823
181.9855,0.82
183.8286,0.815
185.661,0.808
187.4063,0.799
189.1,0.789
190.99,0.776
193.7846,0.762
195.771,0.746
197.537,0.729
199.225,0.709
201.7803,0.688
203.6745,0.666
205.4003,0.643
207.171,0.619
208.988,0.594
210.7185,0.567
213.5133,0.554
215.2693,0.526
216.954,0.498
218.627,0.469
220.424,0.44
223.0916,0.41
225.0727,0.382
226.88,0.353
228.671,0.325
230.453,0.311
232.173,0.269
233.918,0.256
235.6945,0.229
237.533,0.204
240.29,0.179
242.0066,0.156
244.5503,0.124
246.552,0.104
248.371,0.095
250.234,0.077
252.0397,0.062
253.9234,0.047
255.727,0.035
258.295,0.025
260.301,0.016
262.1046,0.01
264.112,0.005
265.933,0.003
267.7104,0.002
269.481,0.003
272.0815,0.007
273.8584,0.012
275.819,0.019
277.487,0.029
280.354,0.04
282.074,0.053
283.8915,0.067
286.374,0.084
288.14,0.102
289.7936,0.122
291.534,0.143
294.1236,0.166
296.1266,0.19
297.96,0.215
299.8726,0.241
301.885,0.268
303.713,0.296
305.5565,0.324
307.2287,0.353
308.995,0.383
311.6977,0.413
313.6965,0.442
315.516,0.472
317.334,0.501
319.0746,0.53
321.6855,0.558
323.365,0.572
325.178,0.613
326.9224,0.626
328.7603,0.664
331.459,0.677
333.179,0.7
335.185,0.721
337.0634,0.742
338.881,0.76
340.6474,0.778
343.4927,0.793
345.2597,0.807
347.0147,0.818
349.007,0.828
351.0707,0.836
352.897,0.843
354.816,0.846
356.417,0.848
358.237,0.848
358.7034,0.847
359.7114,0.845
359.973,0.844
0.002,0.844
