Theta,Power
theta,W
,1960mA
0.6553,0.682
1.396,0.68
2.474,0.679
3.8367,0.676
6.369,0.667
8.242,0.664
9.9623,0.65
11.7683,0.644
14.3506,0.626
16.166,0.618
18.009,0.604
19.8417,0.588
21.69,0.561
23.559,0.552
26.349,0.522
28.1797,0.512
30.0176,0.48
31.764,0.469
34.345,0.435
36.013,0.424
37.846,0.388
39.7246,0.376
42.336,0.352
44.0863,0.328
45.9393,0.304
47.7667,0.281
49.604,0.258
51.453,0.234
53.3266,0.212
55.9115,0.19
57.6717,0.169
59.495,0.149
61.4094,0.13
63.928,0.112
65.673,0.095
67.5725,0.079
69.396,0.065
71.269,0.052
73.9565,0.04
74.8567,0.03
76.8695,0.021
79.7253,0.014
81.6137,0.009
83.3494,0.005
85.316,0.002
87.122,0.002
89.7183,0.002
91.536,0.005
93.3414,0.009
95.1516,0.011
96.844,0.021
99.3873,0.025
101.206,0.034
103.032,0.045
104.845,0.063
106.638,0.07
109.247,0.085
110.164,0.101
113.0055,0.118
114.7245,0.136
116.4233,0.155
119.0456,0.174
120.756,0.195
122.485,0.216
125.244,0.239
126.1553,0.261
128.07,0.284
130.8494,0.307
132.7607,0.33
134.5814,0.353
136.4973,0.376
139.0046,0.399
140.762,0.422
142.602,0.444
144.359,0.466
147.0055,0.487
148.721,0.508
151.2287,0.527
152.7613,0.546
154.5054,0.564
156.2416,0.58
158.1206,0.595
159.9095,0.61
161.785,0.622
163.546,0.634
166.249,0.644
168.322,0.652
170.1656,0.658
171.926,0.663
173.671,0.667
176.308,0.669
178.116,0.669
179.9273,0.668
181.774,0.666
183.648,0.662
185.4455,0.657
188.247,0.65
189.828,0.642
191.86,0.632
193.755,0.621
195.561,0.608
197.368,0.594
199.083,0.578
200.864,0.562
203.4296,0.544
205.245,0.525
207.1246,0.516
208.9577,0.486
210.6976,0.464
212.5615,0.442
214.338,0.431
216.3695,0.408
218.955,0.385
220.9475,0.361
222.7785,0.338
224.566,0.314
226.321,0.291
228.9474,0.268
230.7654,0.245
232.6856,0.223
234.5333,0.201
236.36,0.18
238.081,0.159
240.692,0.14
242.5447,0.121
244.3206,0.104
246.906,0.088
247.8066,0.073
249.579,0.059
252.449,0.046
254.1745,0.035
256.023,0.026
258.6847,0.018
260.486,0.011
262.2994,0.007
264.085,0.003
265.913,0.002
268.416,0.002
270.172,0.003
271.9023,0.006
274.662,0.011
276.669,0.018
278.41,0.025
280.2627,0.035
282.017,0.046
283.845,0.052
285.5496,0.065
288.166,0.087
289.84,0.103
292.409,0.121
293.322,0.13
296.157,0.159
298.158,0.18
300.165,0.201
301.828,0.212
303.647,0.245
305.5336,0.257
307.587,0.28
309.282,0.304
311.9134,0.328
313.746,0.364
315.7735,0.388
317.5374,0.411
320.15,0.435
321.977,0.446
323.8964,0.469
325.7707,0.491
327.66,0.512
329.3854,0.533
332.088,0.552
333.966,0.571
335.7835,0.588
337.6567,0.604
339.367,0.619
341.143,0.632
343.79,0.645
345.7244,0.655
347.4763,0.664
349.243,0.672
351.233,0.678
353.004,0.682
355.4903,0.685
356.9223,0.686
358.144,0.685
359.0284,0.685
359.6343,0.684
359.9984,0.683
0.002,0.683
