Theta,Power
theta,W
,1960mA
0.6,0.687
1.315,0.685
3.007,0.682
4.678,0.678
6.3793,0.672
8.2265,0.664
10.014,0.653
12.6185,0.642
14.4574,0.629
16.217,0.615
18.787,0.599
20.661,0.582
22.493,0.564
24.2707,0.554
26.027,0.525
27.777,0.514
29.5623,0.493
32.1487,0.471
33.975,0.449
35.7525,0.425
37.524,0.401
40.2315,0.377
42.1,0.353
43.9275,0.329
45.7507,0.305
48.433,0.281
49.3483,0.258
52.129,0.235
53.976,0.212
55.7833,0.19
57.463,0.169
59.2136,0.149
61.2567,0.129
63.835,0.111
64.727,0.094
66.739,0.086
69.211,0.071
70.8794,0.057
73.434,0.045
75.23,0.034
77.048,0.021
78.7933,0.017
80.596,0.011
83.2015,0.006
85.039,0.003
86.8417,0.002
88.5816,0.002
91.192,0.003
93.0246,0.007
95.7694,0.014
96.68,0.022
99.603,0.03
101.3934,0.04
103.448,0.052
105.147,0.065
106.832,0.079
108.726,0.094
110.696,0.111
113.4545,0.129
115.2986,0.138
117.121,0.167
118.8305,0.177
121.4414,0.208
123.1506,0.23
124.9796,0.241
126.8273,0.264
128.5927,0.287
130.45,0.31
133.174,0.334
135.007,0.369
137.6637,0.392
138.626,0.415
141.4363,0.438
143.418,0.46
145.1833,0.471
147.017,0.492
148.8184,0.513
151.388,0.532
153.0515,0.551
154.8945,0.568
156.5636,0.585
159.322,0.6
160.2294,0.614
162.0625,0.627
164.79,0.638
166.4024,0.648
168.175,0.656
170.0583,0.663
172.586,0.668
174.3273,0.672
176.9367,0.674
178.7094,0.673
180.5217,0.672
182.329,0.669
184.9225,0.664
186.7567,0.658
188.589,0.65
191.173,0.641
192.9865,0.63
194.802,0.618
196.616,0.604
198.305,0.589
200.0503,0.573
201.812,0.556
204.571,0.537
206.4187,0.528
208.4144,0.498
210.175,0.487
212.1677,0.466
214.22,0.433
216.12,0.421
217.9573,0.386
220.5526,0.362
222.2263,0.339
223.957,0.315
225.769,0.291
228.5536,0.268
230.3706,0.245
232.1673,0.234
233.927,0.201
236.544,0.179
237.63,0.159
239.545,0.149
241.4544,0.13
244.2945,0.104
246.1173,0.087
248.7693,0.072
249.68,0.058
252.536,0.046
254.3693,0.035
256.2233,0.025
258.056,0.017
260.773,0.011
262.6224,0.006
264.46,0.003
266.307,0.002
268.1974,0.002
270.0384,0.002
271.9075,0.005
273.823,0.009
275.584,0.015
278.147,0.022
279.98,0.031
281.7505,0.041
283.575,0.053
286.139,0.066
288.13,0.081
289.844,0.097
291.5643,0.114
294.109,0.132
295.819,0.151
297.508,0.171
300.1237,0.192
302.038,0.214
303.8306,0.237
305.591,0.26
308.208,0.295
310.0235,0.319
311.863,0.344
313.629,0.356
316.296,0.391
318.1224,0.404
320.0274,0.439
321.9314,0.45
324.4923,0.484
326.2416,0.495
327.9315,0.516
329.8115,0.537
331.739,0.557
333.6133,0.575
335.493,0.593
337.345,0.609
339.249,0.623
340.9745,0.637
343.5537,0.649
345.5525,0.66
347.292,0.669
349.288,0.677
351.0493,0.679
352.881,0.685
354.657,0.688
356.2456,0.69
357.6047,0.69
358.637,0.689
359.395,0.688
359.9546,0.688
0.002,0.687
