Theta,Power
theta,W
,1960mA
0.537,0.683
1.255,0.681
2.4046,0.68
4.4685,0.674
6.122,0.668
7.842,0.664
10.536,0.655
12.2856,0.645
14.309,0.632
16.151,0.619
17.9226,0.604
19.6276,0.588
22.3057,0.57
24.148,0.551
25.984,0.532
27.8745,0.512
30.448,0.491
31.3543,0.469
34.2204,0.446
35.967,0.423
37.651,0.399
39.5407,0.375
42.1865,0.351
43.952,0.327
45.626,0.304
47.3255,0.28
50.03,0.257
51.7284,0.233
53.432,0.211
55.2197,0.189
58.042,0.168
59.8627,0.148
61.681,0.129
63.492,0.111
65.299,0.094
67.0703,0.078
69.84,0.064
71.606,0.051
73.6783,0.039
75.773,0.029
77.5046,0.021
79.346,0.014
82.029,0.008
82.995,0.005
85.782,0.002
87.7976,0.002
89.6355,0.002
91.397,0.005
94.0446,0.009
94.944,0.014
97.755,0.021
99.454,0.03
101.9977,0.04
103.821,0.051
105.812,0.064
107.6357,0.078
109.349,0.094
111.1515,0.11
113.7306,0.128
115.7325,0.147
117.407,0.166
119.244,0.186
121.87,0.207
123.545,0.229
125.4385,0.251
127.158,0.274
128.92,0.297
131.54,0.32
133.553,0.344
135.3966,0.367
137.3605,0.39
139.214,0.401
141.0164,0.424
142.8845,0.457
144.7286,0.468
147.2983,0.489
148.9877,0.52
150.9834,0.529
153.5385,0.548
155.308,0.565
157.3205,0.59
159.1385,0.597
160.817,0.611
163.33,0.624
165.0146,0.635
166.699,0.645
168.532,0.653
171.0345,0.659
171.9373,0.665
174.639,0.668
176.5736,0.67
178.3963,0.67
180.189,0.668
182.0564,0.666
183.931,0.661
186.545,0.655
188.281,0.647
190.175,0.637
191.941,0.627
194.7915,0.615
196.5533,0.601
198.5714,0.586
200.285,0.57
202.042,0.553
203.8787,0.535
206.5557,0.515
207.662,0.495
209.7146,0.485
211.4707,0.463
214.296,0.43
216.119,0.419
217.9313,0.396
219.784,0.372
221.561,0.349
223.399,0.325
225.198,0.302
227.048,0.279
229.778,0.255
230.7436,0.233
233.555,0.211
235.2897,0.189
236.969,0.168
238.8534,0.148
241.5357,0.129
243.3016,0.112
245.199,0.095
247.7957,0.079
249.644,0.065
251.425,0.052
254.0364,0.04
256.0524,0.03
258.061,0.021
259.897,0.014
261.567,0.009
263.363,0.005
265.9944,0.002
267.755,0.002
269.588,0.002
271.3636,0.005
273.9495,0.009
275.757,0.015
277.5065,0.022
279.2526,0.026
281.2337,0.041
283.1544,0.052
284.9604,0.066
286.823,0.08
289.465,0.096
291.206,0.113
293.0797,0.131
294.8566,0.151
297.4565,0.17
299.2886,0.191
301.1473,0.213
302.9904,0.235
304.838,0.258
306.616,0.27
309.2,0.294
311.027,0.33
312.885,0.342
314.5847,0.366
316.3663,0.389
319.197,0.413
321.0094,0.436
322.704,0.459
325.4227,0.481
327.188,0.503
328.094,0.524
330.9294,0.544
332.696,0.563
334.591,0.58
336.3054,0.597
339.1263,0.612
340.923,0.626
343.4375,0.639
344.3424,0.651
347.2705,0.661
349.1646,0.668
350.926,0.676
352.76,0.68
354.485,0.684
356.028,0.685
357.899,0.685
358.9456,0.685
359.542,0.685
359.8963,0.684
0.0016,0.683
