Theta,Power
theta,W
,870mA
0.502,0.1591
1.505,0.1589
2.4624,0.1585
4.2977,0.1577
5.836,0.1565
7.5775,0.1548
10.0446,0.1526
11.7637,0.1501
13.51,0.1473
15.8957,0.1442
17.412,0.1406
19.0593,0.1368
21.4405,0.1327
23.8206,0.1284
25.418,0.1239
26.952,0.1191
29.451,0.1141
31.0485,0.1091
33.551,0.1038
35.164,0.0984
37.694,0.0929
39.315,0.0874
40.9384,0.0818
43.401,0.0762
45.008,0.0734
46.7014,0.0678
49.2154,0.0624
50.9006,0.0543
53.2855,0.0517
55.1233,0.0465
57.412,0.0415
59.126,0.0367
60.7796,0.0322
63.4316,0.0278
65.064,0.0238
66.6916,0.02
69.15,0.0165
70.7575,0.0133
73.255,0.0104
74.955,0.0079
77.279,0.0058
78.881,0.004
80.6385,0.0025
83.0436,0.0015
84.641,0.0007
87.052,0.0004
88.64,0.0004
91.024,0.0008
92.7496,0.0015
94.485,0.0027
96.8905,0.0041
98.509,0.0059
101.0053,0.0081
102.773,0.0106
105.1264,0.0134
106.8163,0.0165
108.4635,0.0199
110.7425,0.0236
112.498,0.0275
114.981,0.0317
116.608,0.036
118.349,0.0406
119.9776,0.0453
122.609,0.0503
124.3487,0.0553
126.642,0.0605
128.296,0.0659
129.898,0.0712
132.3565,0.0766
133.9943,0.082
136.491,0.0873
138.238,0.0926
140.623,0.0979
142.2515,0.1031
144.6374,0.1082
146.213,0.113
147.8463,0.1178
150.195,0.1224
152.0023,0.1267
154.47,0.1308
156.2104,0.1345
157.884,0.1381
160.336,0.1398
161.9703,0.1428
164.263,0.1456
165.86,0.1481
167.582,0.1502
169.977,0.1519
171.5997,0.1533
173.9955,0.1543
175.612,0.155
178.1254,0.1552
179.7325,0.1551
182.113,0.1546
183.8234,0.1537
185.4773,0.1525
188.077,0.1509
189.7005,0.1489
192.198,0.1466
193.825,0.144
195.4953,0.1411
197.9567,0.1378
199.457,0.1342
201.259,0.1303
203.818,0.1262
205.339,0.1218
207.7955,0.1173
209.342,0.1125
211.7223,0.1076
213.355,0.1025
215.7356,0.0972
217.3536,0.0918
219.754,0.0864
221.4793,0.0809
223.1885,0.0754
225.6364,0.0701
227.3367,0.0646
228.913,0.0593
231.2984,0.054
233.6936,0.0489
235.353,0.0439
236.9286,0.0391
239.3603,0.0345
241.004,0.0301
243.3834,0.026
245.002,0.0221
247.4175,0.0184
249.045,0.0151
251.6303,0.012
253.2993,0.0093
254.841,0.0069
257.4157,0.0059
259.0436,0.0033
260.7486,0.002
263.246,0.0015
264.8734,0.0008
266.61,0.0004
269.164,0.0004
270.9094,0.0008
272.563,0.0016
274.98,0.0027
276.675,0.0042
278.175,0.0061
280.6675,0.0083
283.047,0.0108
284.661,0.0137
287.173,0.0169
288.853,0.0205
290.5865,0.0243
293.1266,0.0283
294.872,0.0327
296.536,0.0372
298.169,0.0419
300.82,0.0468
302.418,0.0519
304.1786,0.0572
306.5645,0.0625
308.3096,0.0681
310.815,0.0736
312.436,0.0792
314.935,0.0847
316.592,0.0902
318.1995,0.0957
320.6984,0.1012
322.276,0.1064
323.9583,0.1117
326.3234,0.1167
327.967,0.1216
330.455,0.1263
332.0474,0.1307
333.803,0.1349
336.3565,0.1368
338.046,0.1424
340.499,0.1457
342.2227,0.1487
343.8516,0.1514
346.269,0.1538
347.8915,0.1557
350.3367,0.1572
352.0323,0.1584
354.5224,0.1592
355.92,0.1595
357.686,0.1598
358.6086,0.1596
359.3066,0.1595
359.9067,0.1593
0.002,0.1592
