Theta,Power
theta,W
,870mA
0.666,0.159
1.3107,0.1588
2.288,0.1583
4.173,0.1574
5.631,0.156
7.317,0.1543
9.728,0.1521
11.4516,0.1496
13.934,0.1468
15.4763,0.1451
17.319,0.1418
19.076,0.1381
21.5264,0.1341
23.846,0.1299
25.596,0.1254
27.234,0.1183
29.696,0.1158
31.33,0.1108
32.958,0.1056
35.547,0.1003
37.237,0.0948
38.869,0.0892
41.3796,0.0836
43.005,0.0781
44.6344,0.0725
47.0504,0.067
49.483,0.0615
51.0116,0.0561
53.372,0.0509
54.888,0.0457
56.4845,0.0407
59.0766,0.036
60.6983,0.0315
62.9555,0.0272
64.5834,0.0231
67.0714,0.0194
68.7045,0.016
71.125,0.0128
72.785,0.01
74.5035,0.0076
77.0383,0.0055
78.65,0.0037
81.1693,0.0023
82.9045,0.0013
84.5475,0.0007
86.9537,0.0004
88.6645,0.0004
90.2356,0.0009
92.718,0.0017
94.346,0.0029
96.6706,0.0044
98.214,0.0062
100.6584,0.0084
102.296,0.011
104.59,0.0138
106.2427,0.017
108.73,0.0204
110.293,0.0242
112.7335,0.0261
114.443,0.0302
116.0664,0.0345
118.529,0.0389
120.1714,0.0436
122.583,0.0484
124.1805,0.0535
126.601,0.0586
128.1937,0.0639
130.5853,0.0692
132.1767,0.0746
134.5683,0.08
136.179,0.0854
138.6665,0.0906
140.285,0.096
141.9385,0.1011
144.354,0.1062
146.009,0.1112
147.656,0.116
150.1035,0.1206
151.7366,0.125
154.3074,0.1292
155.8994,0.1331
158.401,0.1367
160.0595,0.1401
161.811,0.1432
164.206,0.1459
165.9377,0.1483
167.658,0.1504
170.145,0.1519
171.655,0.1533
173.3954,0.1542
176.042,0.1548
177.604,0.1551
180.0857,0.1549
181.7766,0.1543
183.408,0.1534
185.971,0.1521
187.555,0.1504
190.0224,0.1484
191.5623,0.1461
193.2485,0.1434
195.735,0.1404
197.358,0.1371
199.861,0.1335
201.495,0.1316
203.194,0.1254
205.6774,0.1211
207.232,0.1164
209.6745,0.1117
211.3754,0.1068
213.749,0.1016
215.3626,0.0964
217.092,0.091
219.529,0.0883
221.265,0.0828
223.6037,0.0774
225.2326,0.0719
227.725,0.0665
229.3574,0.0612
230.9806,0.0558
232.624,0.0507
235.1423,0.0456
236.775,0.0408
239.3874,0.0361
240.994,0.0316
243.369,0.0274
245.109,0.0234
246.7465,0.0196
249.2366,0.0162
250.756,0.0131
253.0847,0.0102
254.6204,0.0077
257.139,0.0056
258.757,0.0038
261.2196,0.0024
262.908,0.0014
264.711,0.0007
267.0347,0.0004
268.7387,0.0004
270.28,0.0009
272.8295,0.0017
274.4726,0.0029
276.95,0.0045
278.5733,0.0064
281.2087,0.0086
282.8215,0.0112
284.4755,0.0142
286.8196,0.0174
288.449,0.021
290.9194,0.0248
292.68,0.029
294.304,0.0333
296.0083,0.0355
298.4656,0.0426
300.2524,0.0475
302.704,0.0526
304.3927,0.0579
306.8416,0.0633
308.4586,0.0688
310.209,0.0743
312.6703,0.0799
314.2425,0.0855
315.8855,0.0882
318.377,0.0937
319.9977,0.0991
322.5003,0.1045
324.1693,0.1098
325.893,0.1149
328.5655,0.1198
330.199,0.1245
331.8275,0.129
334.223,0.1333
336.6024,0.1373
338.3444,0.1411
339.9915,0.1445
341.731,0.1476
344.301,0.1504
345.9713,0.1529
347.7534,0.1549
350.2044,0.1566
351.736,0.1579
354.1353,0.1589
355.599,0.1594
357.496,0.1596
358.4335,0.1595
359.4707,0.1593
359.853,0.1592
0,0.1591
