Theta,Power
theta,W
,870mA
0.5324,0.1589
1.173,0.1585
2.537,0.1581
3.739,0.1572
5.8355,0.1559
7.3727,0.155
9.809,0.1529
11.436,0.1506
14.027,0.1464
15.818,0.1431
17.442,0.1396
19.9344,0.1377
21.6603,0.1315
23.344,0.1293
25.7235,0.1249
27.3994,0.1202
29.0304,0.1153
31.561,0.1103
33.2395,0.1051
35.7426,0.0997
37.2825,0.0942
38.9463,0.0887
41.333,0.0831
43.047,0.0775
45.5304,0.072
47.2703,0.0665
48.862,0.061
51.314,0.0556
53.111,0.0503
54.7795,0.0452
57.294,0.0403
58.907,0.0356
61.415,0.031
63.0425,0.0268
64.798,0.0228
66.446,0.0191
68.9863,0.0157
70.6095,0.0126
73.137,0.0098
74.6884,0.0074
76.3116,0.0053
78.814,0.0044
80.5135,0.0022
82.8384,0.0013
85.1565,0.0006
86.805,0.0004
88.515,0.0004
90.901,0.0007
92.5334,0.0013
95.0214,0.003
96.7373,0.0045
98.3694,0.0054
100.842,0.0075
102.4186,0.0099
104.891,0.0126
106.53,0.0173
109.0933,0.0207
110.645,0.0226
112.2933,0.0265
114.791,0.0305
116.419,0.0348
118.114,0.0393
119.844,0.044
122.3676,0.0489
123.9903,0.0539
126.4637,0.0591
128.091,0.0644
130.712,0.0697
132.34,0.0751
133.927,0.0805
136.3536,0.0858
137.977,0.091
140.4856,0.0963
142.113,0.1016
143.735,0.1066
146.229,0.1116
147.8713,0.1164
150.3645,0.121
151.962,0.1254
154.4496,0.1295
156.1187,0.1333
157.8435,0.1369
160.24,0.1403
161.8765,0.1433
164.334,0.1461
165.942,0.1484
167.493,0.1504
169.9864,0.1521
171.4955,0.1533
173.989,0.1543
175.631,0.1549
177.342,0.155
179.845,0.1548
182.226,0.1542
183.915,0.1532
185.65,0.1519
188.005,0.1502
189.6125,0.1481
191.389,0.1458
193.944,0.1445
195.6167,0.1417
197.178,0.1385
199.554,0.135
201.202,0.1312
203.583,0.1271
205.2414,0.1228
207.704,0.1183
209.223,0.1137
211.8145,0.1088
213.4216,0.1037
214.9417,0.0985
217.451,0.0932
218.997,0.0878
221.4694,0.0823
223.0723,0.0768
225.4915,0.0714
227.094,0.066
228.7224,0.0607
231.2364,0.0554
232.926,0.0502
235.43,0.0452
236.963,0.0403
238.619,0.0357
241.055,0.0312
243.353,0.027
244.91,0.023
246.664,0.0193
249.1637,0.0159
250.781,0.0128
253.2696,0.01
254.8975,0.0075
256.561,0.0054
259.023,0.0037
261.4243,0.0023
263.092,0.0013
264.6697,0.0006
267.024,0.0004
268.611,0.0005
271.022,0.0009
272.604,0.0018
275.0305,0.003
276.648,0.0046
278.286,0.0065
280.646,0.0088
283.011,0.0114
284.67,0.0144
286.3076,0.0177
288.689,0.0213
290.3354,0.0232
292.814,0.0272
294.426,0.0315
296.141,0.036
298.6557,0.0406
300.206,0.0454
302.575,0.0505
304.199,0.0557
306.686,0.0611
308.309,0.0665
310.757,0.0721
312.384,0.0776
313.9664,0.0832
316.3106,0.0887
318.7115,0.0942
320.283,0.0996
321.875,0.105
324.4386,0.1102
326.073,0.1153
328.617,0.1202
330.2397,0.1249
331.868,0.1294
334.279,0.1337
336.004,0.1376
338.3803,0.1413
340.1963,0.1447
342.0695,0.1478
343.676,0.1506
346.171,0.153
347.8034,0.1551
350.297,0.1567
351.838,0.158
354.223,0.1589
355.7653,0.1595
357.1067,0.1596
358.6185,0.1595
359.2863,0.1593
359.8807,0.1592
0.002,0.159
