Theta,Power
theta,W
,1650mA
0.6803,0.549
1.4237,0.548
2.483,0.546
3.8195,0.543
5.439,0.538
7.264,0.536
9.7773,0.525
11.5996,0.52
13.452,0.506
16.028,0.495
17.86,0.483
19.7443,0.476
21.6384,0.462
23.4117,0.44
26.015,0.424
27.827,0.408
29.614,0.399
31.4064,0.382
33.2374,0.364
35.763,0.336
37.6044,0.317
39.386,0.298
41.204,0.288
43.901,0.269
45.754,0.24
47.5714,0.231
49.3785,0.212
51.232,0.193
53.2646,0.175
55.0905,0.157
56.7913,0.14
58.5474,0.124
61.1625,0.108
62.9805,0.093
64.812,0.079
66.5385,0.067
69.169,0.055
71.0065,0.044
72.769,0.034
74.653,0.026
76.4966,0.019
78.2953,0.013
80.314,0.008
82.212,0.004
84.9,0.003
86.6615,0.001
88.4946,0.002
90.326,0.003
92.983,0.006
94.673,0.01
96.5404,0.013
98.3595,0.019
100.9673,0.03
101.8805,0.034
103.9006,0.043
105.8937,0.054
108.735,0.072
110.572,0.078
112.334,0.091
114.095,0.106
116.7676,0.121
118.4763,0.136
120.3146,0.153
122.113,0.17
123.9757,0.187
125.8334,0.205
128.474,0.224
130.41,0.242
132.1403,0.261
134.009,0.28
136.6187,0.298
138.37,0.317
140.238,0.335
141.989,0.353
144.625,0.371
146.437,0.388
148.2615,0.405
150.86,0.421
151.7606,0.436
153.7766,0.45
155.6,0.464
158.35,0.476
160.1215,0.488
161.989,0.498
163.74,0.508
165.487,0.516
167.405,0.523
169.4274,0.529
171.2444,0.533
174.117,0.536
175.867,0.538
177.7415,0.539
179.5377,0.538
181.437,0.536
183.275,0.533
185.8503,0.53
187.81,0.522
189.622,0.515
191.46,0.507
193.2267,0.497
195.8574,0.487
197.854,0.475
199.6867,0.462
201.4735,0.449
204.0636,0.434
204.9747,0.427
207.012,0.411
208.7514,0.395
211.5884,0.378
213.267,0.36
215.817,0.342
217.579,0.324
218.53,0.305
220.5167,0.286
223.3213,0.267
225.0154,0.248
227.57,0.229
229.3266,0.211
231.0254,0.192
232.864,0.174
234.8896,0.157
236.7264,0.14
238.5153,0.124
241.327,0.108
243.1995,0.094
244.9947,0.08
246.7366,0.067
248.497,0.055
251.138,0.045
253.13,0.035
254.891,0.026
256.8776,0.019
258.596,0.013
261.127,0.008
262.8865,0.005
264.803,0.002
266.6404,0.001
268.3183,0.002
270.951,0.003
272.9514,0.006
274.7997,0.01
276.6777,0.016
279.1823,0.022
281.1623,0.03
282.964,0.039
284.695,0.049
286.563,0.061
288.461,0.073
290.1916,0.087
291.948,0.101
293.8585,0.108
296.5564,0.132
298.317,0.148
301.045,0.166
301.9516,0.183
304.8074,0.202
306.533,0.22
308.2216,0.239
310.8434,0.249
312.809,0.278
314.6254,0.297
316.4377,0.316
318.009,0.335
320.8307,0.354
322.8477,0.372
324.71,0.39
326.594,0.399
328.3607,0.416
330.187,0.432
331.857,0.447
334.58,0.462
336.494,0.475
338.352,0.488
340.1744,0.5
341.942,0.511
343.6516,0.52
345.51,0.529
348.3504,0.536
350.122,0.541
351.9693,0.546
353.736,0.549
356.372,0.551
357.069,0.551
358.328,0.551
359.425,0.55
359.862,0.549
0.0016,0.549
