Position,Power
0.7267,0.016
1.4284,0.016
2.406,0.016
3.5715,0.0161
5.8105,0.0162
7.408,0.0162
9.036,0.0162
11.591,0.0161
13.2504,0.016
15.814,0.0159
17.494,0.0157
19.213,0.0155
21.8233,0.0153
23.5096,0.015
25.198,0.0147
27.5786,0.0144
29.201,0.014
31.6773,0.0136
33.3646,0.0132
34.9706,0.0127
36.721,0.0122
39.357,0.0117
40.98,0.0112
42.602,0.0107
45.076,0.0101
46.7483,0.0096
49.166,0.0093
50.9053,0.0087
52.541,0.0082
54.203,0.0076
56.8195,0.007
58.4416,0.0065
60.1107,0.0059
61.8147,0.0054
64.323,0.0048
65.929,0.0043
68.4185,0.0038
70.087,0.0034
71.7566,0.0029
74.434,0.0025
76.062,0.0021
77.6145,0.0019
79.409,0.0016
81.1954,0.0012
83.6927,0.001
85.219,0.0007
88.086,0.0005
89.714,0.0003
91.3415,0.0002
93.189,0.0001
95.826,0.0
97.561,0.0
99.2664,0.0
100.888,0.0
102.687,0.0001
105.3066,0.0002
106.8585,0.0003
108.5093,0.0005
111.025,0.0007
112.653,0.001
115.1105,0.0013
117.033,0.0016
118.7294,0.0019
120.547,0.0023
122.17,0.0027
123.975,0.0032
126.45,0.0036
128.067,0.0041
129.7357,0.0046
132.3403,0.0051
133.9687,0.0054
135.586,0.0059
138.0945,0.0065
138.9186,0.007
141.504,0.0076
143.29,0.0082
145.1146,0.0087
146.803,0.0093
149.389,0.0096
151.0464,0.0101
152.7467,0.0109
155.2795,0.0112
156.897,0.012
158.663,0.0122
161.0285,0.0127
162.6553,0.0131
164.29,0.0136
167.0286,0.014
168.661,0.0143
170.2786,0.0147
172.7713,0.015
174.4263,0.0152
176.043,0.0155
178.5515,0.0157
180.2097,0.0159
182.882,0.016
184.428,0.0161
187.0177,0.0161
188.656,0.0161
190.3907,0.0161
193.047,0.016
194.7384,0.0159
196.6674,0.0157
198.296,0.0155
200.768,0.0153
201.5767,0.0151
204.3006,0.0149
205.1497,0.0146
207.772,0.0143
209.3953,0.0139
211.9984,0.0135
212.8553,0.0131
215.619,0.0127
217.247,0.0122
219.7134,0.0117
221.357,0.0112
223.0166,0.0106
225.606,0.0101
227.266,0.0095
228.891,0.009
231.4374,0.0084
233.1216,0.0078
234.7193,0.0073
237.2833,0.0067
238.989,0.0061
241.4544,0.0056
243.355,0.0051
245.1207,0.0046
246.7486,0.0043
248.376,0.0038
250.21,0.0034
252.7987,0.0029
253.6275,0.0025
256.2686,0.0021
257.9236,0.0018
259.495,0.0014
261.9926,0.0013
263.743,0.001
265.377,0.0007
267.773,0.0005
270.21,0.0003
271.898,0.0002
273.655,0.0001
275.974,0.0
277.5997,0.0
279.197,0.0
281.763,0.0
283.3904,0.0001
285.9153,0.0002
287.6287,0.0004
290.225,0.0006
292.017,0.0008
293.537,0.0011
295.1853,0.0014
297.6003,0.0017
299.5475,0.0021
301.1843,0.0025
303.781,0.0029
304.6193,0.0034
307.225,0.0038
308.8534,0.0043
310.6507,0.0048
312.335,0.0054
314.971,0.0056
316.5945,0.0062
318.9845,0.0067
320.657,0.0073
322.3216,0.0078
323.965,0.0084
325.7764,0.009
327.5444,0.0092
329.2786,0.0098
331.884,0.0104
333.492,0.0109
335.1193,0.0114
337.638,0.0119
339.2086,0.0124
341.723,0.0129
343.4583,0.0133
345.26,0.0137
346.889,0.0141
349.4386,0.0145
351.1165,0.0148
352.723,0.0151
354.3463,0.0154
356.7546,0.0155
357.916,0.0156
358.8216,0.0158
359.7036,0.0158
359.961,0.0159
0.0016,0.0159
