Position,Power
0.5574,0.0158
1.1893,0.0158
2.6646,0.0159
4.0554,0.0159
5.499,0.016
7.1216,0.016
9.645,0.016
11.2943,0.016
13.7,0.0159
15.344,0.0158
17.996,0.0156
19.0796,0.0154
21.696,0.0151
23.3356,0.0149
24.921,0.0146
26.903,0.0142
28.643,0.0141
31.2063,0.0135
32.856,0.0133
35.442,0.0126
37.1,0.0121
39.5615,0.0116
41.457,0.0111
43.0794,0.0106
45.4387,0.01
47.266,0.0095
49.078,0.0089
50.717,0.0086
53.327,0.0081
55.103,0.0075
56.9064,0.007
58.6214,0.0064
61.093,0.0059
62.7565,0.0053
64.339,0.0048
66.9646,0.0043
68.649,0.0038
70.287,0.0033
72.9235,0.0029
74.5556,0.0025
76.2054,0.0021
77.883,0.0017
80.4473,0.0014
82.3107,0.0011
83.96,0.001
85.5977,0.0007
88.183,0.0005
89.8225,0.0003
91.445,0.0002
93.8264,0.0001
95.4334,0.0
97.0603,0.0
99.4264,0.0
101.098,0.0
103.602,0.0001
104.4356,0.0002
107.114,0.0003
108.7364,0.0005
110.4097,0.0007
112.884,0.001
114.558,0.0013
116.178,0.0016
117.9465,0.0019
120.643,0.0023
121.755,0.0027
124.287,0.0031
125.9266,0.0036
127.6665,0.0041
130.273,0.0046
131.9465,0.0051
134.3787,0.0056
136.297,0.0062
137.978,0.0064
139.605,0.0073
142.308,0.0078
143.919,0.0084
145.5537,0.0086
148.149,0.0095
149.9097,0.0098
151.5225,0.0103
153.1197,0.0108
155.705,0.0114
157.3335,0.0119
158.9593,0.0123
161.361,0.0128
162.9575,0.0132
164.792,0.0136
166.409,0.0138
169.0857,0.0142
170.861,0.0145
172.5666,0.0148
175.0863,0.0151
176.7856,0.0153
178.454,0.0156
180.901,0.0157
182.8107,0.0158
184.4287,0.0159
186.05,0.016
188.5404,0.016
190.084,0.0159
192.618,0.0159
194.2977,0.0157
196.777,0.0156
198.526,0.0154
200.165,0.0152
202.77,0.0149
204.5215,0.0146
206.185,0.0143
208.6983,0.014
210.2694,0.0136
212.6444,0.0132
214.5187,0.0128
217.026,0.0123
218.645,0.0119
221.127,0.0113
222.7645,0.0108
224.4085,0.0103
226.1396,0.0097
228.606,0.0092
230.3107,0.0086
231.97,0.008
234.283,0.0075
235.8237,0.0072
238.3215,0.0064
240.0224,0.0058
241.6597,0.0056
243.389,0.005
245.156,0.0045
247.787,0.004
249.389,0.0036
251.0427,0.0031
252.7946,0.0027
254.534,0.0023
257.4053,0.0019
259.0145,0.0016
260.6465,0.0013
262.484,0.0011
265.1093,0.0008
266.743,0.0006
269.2914,0.0004
271.0485,0.0003
272.795,0.0001
274.419,0.0
276.904,0.0
278.5124,0.0
280.1866,0.0
282.7236,0.0001
284.3734,0.0002
286.811,0.0003
288.553,0.0005
290.947,0.0007
292.5936,0.001
294.218,0.0012
296.858,0.0016
298.5234,0.0019
300.182,0.0023
301.8297,0.0027
304.569,0.0031
306.166,0.0036
307.783,0.004
310.548,0.0045
312.176,0.0051
314.5816,0.0056
316.224,0.0061
317.858,0.0067
320.586,0.0072
322.209,0.0078
323.924,0.0083
326.459,0.0089
328.1216,0.0095
329.755,0.01
332.2213,0.0105
334.0034,0.0108
335.611,0.0113
337.9714,0.0118
339.64,0.0123
341.2626,0.0128
343.4323,0.0132
345.8124,0.0138
347.5174,0.0142
350.042,0.0144
351.669,0.0147
354.218,0.015
355.741,0.0152
357.214,0.0154
358.215,0.0156
359.012,0.0157
359.8426,0.0157
359.9984,0.0157
