Theta,Power
theta,W
-,핀홀_좌중
0.5975,0.000793
1.664,0.000794
2.6953,0.000797
3.935,0.0008
6.2355,0.000804
7.8535,0.000807
9.358,0.000809
11.846,0.000808
13.555,0.000806
15.2284,0.000802
17.6653,0.000796
19.405,0.000788
21.0956,0.000778
23.66,0.000767
25.365,0.000754
27.1,0.000747
28.85,0.000732
31.431,0.000715
33.054,0.000696
35.526,0.000677
37.098,0.000656
39.642,0.000634
41.316,0.000611
43.0106,0.000586
45.4835,0.000561
47.1005,0.000536
49.5837,0.00051
51.278,0.000484
52.9015,0.000456
55.47,0.000429
57.0836,0.000402
58.7886,0.000375
61.1796,0.000348
62.8357,0.000322
65.4976,0.000296
67.198,0.000271
68.8316,0.000246
70.5267,0.000222
72.998,0.000199
74.6207,0.000178
77.14,0.000157
78.701,0.000137
81.153,0.00012
82.8316,0.000103
84.608,8.9e-05
87.0813,7.5e-05
88.832,6.4e-05
90.4533,5.4e-05
93.049,4.6e-05
94.678,4e-05
96.4044,3.5e-05
98.968,3.3e-05
100.678,3.2e-05
102.3305,3.3e-05
104.8534,3.6e-05
106.4975,4.1e-05
108.9104,4.8e-05
110.5326,5.7e-05
112.273,6.8e-05
114.8074,8e-05
116.4337,9.4e-05
118.1543,0.000109
120.7236,0.000126
122.4343,0.000144
124.1393,0.000164
126.662,0.000174
128.3573,0.000196
130.107,0.000218
132.678,0.000242
134.4225,0.000266
136.1176,0.000292
137.8674,0.000317
140.432,0.000343
142.142,0.00037
144.687,0.000397
146.406,0.000424
148.1573,0.000452
149.8514,0.000479
152.4175,0.000506
154.1,0.000533
155.7337,0.000559
158.205,0.000584
159.921,0.000608
162.398,0.000632
164.048,0.000654
165.6684,0.000676
168.2705,0.000696
169.9093,0.000713
171.619,0.00073
174.02,0.000746
175.5437,0.00076
178.1556,0.000772
179.798,0.000783
181.6573,0.000792
184.0375,0.0008
185.66,0.000805
187.2875,0.000808
189.8677,0.00081
191.5727,0.000809
194.0857,0.000806
195.8365,0.000801
197.5306,0.000796
199.1543,0.000788
201.662,0.000779
203.3624,0.000767
205.896,0.000753
207.6064,0.000738
209.238,0.000722
211.8067,0.000704
213.5226,0.000685
215.233,0.000665
217.748,0.000643
219.374,0.000621
220.895,0.000609
223.392,0.000585
225.2003,0.00056
226.8944,0.000535
229.2803,0.000509
231.0144,0.000482
233.579,0.000456
235.269,0.000428
236.9593,0.000401
239.4223,0.000374
241.1356,0.000347
242.8364,0.000321
245.4244,0.000295
247.07,0.00027
248.778,0.000245
251.3167,0.000222
253.007,0.000199
255.479,0.000177
257.1073,0.000156
258.803,0.000137
261.3003,0.000119
263.0095,0.000103
264.8723,8.8e-05
266.5325,7.5e-05
269.102,6.3e-05
270.808,5.4e-05
273.299,4.6e-05
274.9997,3.9e-05
276.704,3.5e-05
278.4493,3.3e-05
281.003,3.2e-05
282.693,3.3e-05
284.3713,3.6e-05
286.8697,4.1e-05
288.5695,4.8e-05
290.2484,5.7e-05
292.8187,6.8e-05
294.4966,8e-05
296.9554,9.4e-05
298.489,0.000109
301.0806,0.000126
302.852,0.000144
304.5203,0.000164
306.219,0.000185
308.77,0.000206
310.4793,0.00023
312.194,0.000254
314.718,0.000279
316.356,0.000305
318.107,0.000331
320.6004,0.000357
322.247,0.000384
324.833,0.000412
326.5495,0.000439
328.1727,0.000453
330.583,0.00048
332.1995,0.000507
333.9045,0.000533
336.4023,0.000559
338.0917,0.000583
339.7295,0.000608
342.2274,0.000631
343.9027,0.000653
346.359,0.000675
347.9727,0.000695
349.615,0.000713
352.2303,0.00073
353.8993,0.000745
355.5335,0.000759
357.4953,0.000771
358.523,0.000779
359.512,0.000785
359.8833,0.000789
0.0214,0.000791
