Position,Power
0.4433,0.0006
1.5716,0.0007
2.5604,0.0009
3.7783,0.0012
5.24,0.0017
7.7733,0.0023
9.3945,0.0031
11.079,0.0039
13.823,0.0049
15.4445,0.006
17.1105,0.0072
18.8447,0.0084
21.4504,0.0098
23.089,0.0112
25.551,0.0128
27.2103,0.0143
28.8543,0.016
31.474,0.0177
33.3375,0.0194
34.8836,0.0212
37.565,0.023
39.241,0.0248
40.785,0.0266
43.4357,0.0284
45.157,0.0302
46.857,0.032
48.4544,0.0337
51.2997,0.0355
52.897,0.0363
54.5154,0.038
56.337,0.0396
58.933,0.0411
60.843,0.0425
62.44,0.0439
64.0213,0.0452
66.555,0.0464
68.162,0.0469
69.8167,0.048
72.294,0.049
73.938,0.0498
75.59,0.0506
77.188,0.0512
78.719,0.0517
81.2933,0.0519
82.9316,0.0522
84.4975,0.0524
87.191,0.0524
88.9713,0.0523
90.6867,0.0521
92.351,0.0518
94.1004,0.0514
96.707,0.0508
98.555,0.0501
100.224,0.0493
102.702,0.0484
104.421,0.0474
106.858,0.0463
108.5473,0.0451
110.118,0.0437
112.6835,0.0423
114.306,0.0409
115.9643,0.0393
117.619,0.0377
120.238,0.0369
121.0736,0.0352
123.804,0.0335
125.455,0.0317
127.939,0.0299
129.5716,0.0281
131.16,0.0262
133.7385,0.0244
135.413,0.0226
137.0454,0.0217
138.668,0.019
141.142,0.0173
142.773,0.0165
145.164,0.0148
146.787,0.0132
148.4147,0.0116
150.0275,0.0101
152.6795,0.0088
154.4194,0.0075
156.078,0.0063
157.7065,0.0057
160.2044,0.0046
161.9245,0.0037
164.443,0.0024
166.1794,0.0021
168.661,0.0012
170.2844,0.0008
172.741,0.0005
174.42,0.0003
176.1865,0.0003
177.7373,0.0003
179.4116,0.0005
181.2083,0.0007
183.7796,0.0011
185.294,0.0017
187.7553,0.0023
189.307,0.0031
191.872,0.0039
193.514,0.0049
195.1734,0.006
198.1265,0.0072
199.7696,0.0085
202.2273,0.0098
203.768,0.0113
205.3654,0.0128
207.996,0.0144
209.6563,0.016
211.334,0.0177
212.926,0.0195
215.736,0.0212
217.303,0.023
219.009,0.0249
221.67,0.0267
223.374,0.0285
224.9097,0.0303
226.754,0.0312
229.2766,0.0339
231.007,0.0356
232.7215,0.0365
235.363,0.0389
237.063,0.0405
238.6846,0.042
241.3263,0.0434
243.094,0.0447
244.7884,0.0454
247.383,0.0466
249.119,0.0477
250.859,0.0487
253.367,0.05
255.037,0.0507
256.6734,0.051
259.1317,0.0515
260.6616,0.0519
263.176,0.0522
264.818,0.0524
266.504,0.0524
269.104,0.0523
270.8536,0.0521
272.441,0.0518
274.8726,0.0513
276.5005,0.0508
278.1383,0.0501
280.7237,0.0492
282.3626,0.0483
284.189,0.0473
285.782,0.0467
288.381,0.0449
290.107,0.0443
291.612,0.0429
294.0997,0.0414
295.661,0.0399
297.284,0.0384
299.844,0.0367
301.4917,0.0351
303.8166,0.0333
305.5356,0.0316
307.2297,0.0298
309.5437,0.028
311.178,0.0262
312.9136,0.0244
315.4625,0.0226
317.084,0.0208
318.7756,0.019
321.364,0.0173
323.11,0.0156
324.8444,0.014
327.3647,0.0124
329.1145,0.0109
330.835,0.0095
333.451,0.0082
335.083,0.0069
336.716,0.0058
338.4887,0.0052
341.073,0.0037
342.6905,0.0033
344.307,0.0025
346.7563,0.0018
349.2386,0.0013
350.8707,0.0008
352.601,0.0005
354.9824,0.0003
356.382,0.0003
357.6714,0.0003
358.649,0.0004
359.725,0.0005
359.9864,0.0006
0.002,0.0006
