Position,Power
0.62,0.0006
1.2607,0.0007
2.124,0.0009
3.9106,0.0012
5.375,0.0016
7.87,0.0023
9.549,0.003
11.3985,0.0039
13.071,0.0048
15.7837,0.0059
17.417,0.0071
19.8027,0.0084
21.492,0.0097
23.0434,0.0111
25.695,0.0127
27.4056,0.0142
29.052,0.0159
30.7724,0.0175
33.502,0.0193
35.1493,0.0211
36.7824,0.0228
38.656,0.0247
41.238,0.0265
42.8705,0.0283
45.3934,0.0301
47.0874,0.0319
48.7466,0.0336
51.485,0.0354
53.188,0.037
54.884,0.0387
57.255,0.0402
59.036,0.041
60.5613,0.0431
63.228,0.0444
64.8616,0.0457
67.247,0.0469
68.885,0.0479
71.259,0.0489
72.9756,0.0498
74.5405,0.0501
76.2866,0.0508
78.821,0.0514
80.4124,0.0518
82.9665,0.0521
84.503,0.0523
86.9657,0.0524
88.6546,0.0523
90.315,0.0521
93.078,0.0518
94.7265,0.0514
96.452,0.0508
98.981,0.0502
100.776,0.0494
102.8905,0.0485
104.602,0.0475
106.295,0.0463
108.804,0.0451
110.4576,0.0438
112.086,0.0424
114.722,0.0409
116.355,0.0394
118.208,0.0378
119.8463,0.0361
121.463,0.0353
123.1485,0.0336
125.737,0.0318
127.334,0.03
128.9063,0.0282
131.4974,0.0263
133.285,0.0245
134.9116,0.0227
137.352,0.0209
138.919,0.0191
141.5363,0.0174
143.06,0.0157
144.771,0.0141
146.3487,0.0125
149.229,0.0117
150.934,0.0102
152.5977,0.0088
154.221,0.0075
155.961,0.0063
157.736,0.0052
159.734,0.0042
162.4464,0.0033
164.06,0.0025
165.785,0.0018
168.236,0.0012
169.8593,0.0008
172.24,0.0005
173.8574,0.0003
175.4494,0.0003
177.8207,0.0003
179.4475,0.0004
181.962,0.0007
183.6134,0.0011
186.046,0.0016
187.616,0.0023
189.91,0.003
191.5034,0.0039
193.183,0.0048
195.686,0.0059
197.22,0.0071
199.039,0.0084
201.086,0.0097
203.6005,0.0112
205.2216,0.0127
207.696,0.0143
209.451,0.0159
211.917,0.0176
213.8024,0.0193
215.4365,0.0211
217.1806,0.0229
219.695,0.0247
221.337,0.0266
223.795,0.0284
225.5035,0.0302
227.947,0.032
229.697,0.0338
231.37,0.0355
233.035,0.0372
235.6497,0.0388
237.4214,0.0404
239.1634,0.0419
240.836,0.0433
243.242,0.0446
244.942,0.0459
247.4347,0.047
249.2887,0.0481
250.931,0.049
252.667,0.0499
255.2674,0.0506
256.8896,0.0512
258.5133,0.0517
261.251,0.0521
263.151,0.0523
264.921,0.0524
266.54,0.0524
269.033,0.0523
270.696,0.052
272.5524,0.0516
275.0737,0.0513
276.9006,0.0508
278.574,0.0501
280.9633,0.0493
282.823,0.0484
284.4004,0.0473
286.995,0.0462
288.6387,0.045
290.1994,0.0436
293.0104,0.0422
294.645,0.0408
296.2803,0.0392
298.0994,0.0376
300.648,0.036
301.4724,0.0343
304.1843,0.0334
304.9986,0.0317
307.784,0.0299
309.632,0.0281
312.1603,0.0263
313.9367,0.0245
315.6886,0.0227
317.336,0.0209
319.8393,0.0191
321.4365,0.0174
323.136,0.0157
325.6284,0.0141
327.262,0.0125
328.9416,0.011
330.686,0.0096
333.374,0.0082
335.063,0.007
337.4755,0.0058
339.0356,0.0047
340.6953,0.0038
343.2437,0.0029
344.077,0.0025
346.7454,0.0018
348.4244,0.0013
350.0835,0.0008
352.7075,0.0005
354.3687,0.0003
355.8867,0.0003
357.199,0.0003
358.788,0.0004
359.4816,0.0005
359.873,0.0006
0.001,0.0006
