Position,Power
0.7866,0.0006
1.164,0.0008
2.671,0.001
3.9955,0.0013
5.5015,0.0018
7.077,0.0021
9.5393,0.0029
11.2485,0.0037
12.9066,0.0047
15.6264,0.0057
17.2173,0.0069
18.788,0.0081
20.55,0.0095
23.366,0.0109
24.974,0.0124
27.43,0.014
29.048,0.0156
31.572,0.0173
33.2145,0.019
34.78,0.0208
37.4737,0.0226
39.097,0.0244
41.574,0.0262
43.29,0.028
44.943,0.0298
47.3536,0.0316
48.248,0.0333
50.84,0.0342
52.5754,0.0359
54.2033,0.0376
55.7646,0.0392
58.355,0.0408
60.08,0.0422
61.666,0.0436
63.361,0.0449
65.006,0.0455
67.7434,0.0467
69.478,0.0483
72.0384,0.0492
73.702,0.05
76.1225,0.0507
77.824,0.0513
79.5737,0.0516
81.206,0.052
82.856,0.0522
85.3164,0.0524
86.9766,0.0524
88.7165,0.0523
90.3606,0.0521
92.1396,0.0519
94.578,0.0515
96.1966,0.0509
98.5814,0.0503
100.3057,0.0495
101.965,0.0486
104.5497,0.0476
106.1776,0.0465
108.563,0.0453
110.293,0.044
112.0443,0.0427
114.506,0.0412
116.237,0.0397
117.8386,0.0381
120.2964,0.0364
121.96,0.0347
123.6814,0.033
126.29,0.0312
127.9296,0.0294
130.422,0.0276
132.178,0.0257
133.812,0.0239
136.3447,0.0221
137.9216,0.0203
140.552,0.0186
142.313,0.0168
144.101,0.0152
145.841,0.0135
147.6426,0.0119
150.192,0.0105
151.795,0.0091
154.1027,0.0077
155.817,0.0065
157.4617,0.0054
159.1854,0.0049
161.6687,0.0039
163.2815,0.003
164.965,0.0022
167.5,0.0016
169.138,0.0011
171.624,0.0007
173.329,0.0004
175.793,0.0003
177.533,0.0003
179.2126,0.0004
181.6907,0.0007
183.256,0.0013
185.775,0.0015
187.43,0.0021
189.061,0.0029
191.6456,0.0037
193.2897,0.0047
195.026,0.0057
197.7525,0.0069
199.3976,0.0082
201.0104,0.0095
203.6395,0.011
205.28,0.0125
206.952,0.014
209.7167,0.0156
211.35,0.0173
212.952,0.0191
215.522,0.0208
217.1556,0.0226
218.8226,0.0245
220.658,0.0263
223.3896,0.0281
224.915,0.0299
227.3565,0.0317
228.9297,0.0335
231.3807,0.0352
233.0044,0.0369
235.3845,0.0386
237.119,0.0402
238.7523,0.0417
241.25,0.0431
242.991,0.0444
244.6295,0.0457
247.2555,0.0469
248.8735,0.0479
251.4584,0.0489
253.102,0.0498
254.7345,0.0505
256.522,0.0511
259.1265,0.0516
260.755,0.052
262.398,0.0523
264.8645,0.0524
266.5294,0.0524
268.121,0.0524
269.852,0.0522
271.73,0.0519
273.378,0.0514
276.113,0.0509
277.724,0.0502
280.2127,0.0494
281.0764,0.0485
283.6894,0.048
285.3173,0.047
287.845,0.0458
289.479,0.0446
291.0293,0.0432
292.6207,0.0418
294.4075,0.0403
297.116,0.0387
298.743,0.0371
300.362,0.0354
302.848,0.0337
304.722,0.032
306.3514,0.0311
307.9694,0.0293
310.4876,0.0275
312.223,0.0257
313.962,0.0239
316.379,0.0221
318.0515,0.0203
319.7987,0.0186
322.4044,0.0168
324.016,0.0152
325.6284,0.0135
328.1534,0.012
329.9553,0.0105
332.442,0.0091
333.2715,0.0078
335.96,0.0066
337.552,0.0054
340.2447,0.0044
341.9586,0.0035
343.6266,0.0027
345.2717,0.0019
347.995,0.0014
349.612,0.0009
351.302,0.0007
353.0924,0.0005
355.482,0.0003
356.8895,0.0003
358.0095,0.0003
358.8883,0.0004
359.5197,0.0005
359.984,0.0006
0.002,0.0006
